 location ,cause,year,death
South-East Asia Region,Other maternal disorders,2000,13863.09845
European Region,Maternal abortion and miscarriage,2000,392.6772465
Western Pacific Region,Maternal hemorrhage,2000,5992.331554
Western Pacific Region,Maternal sepsis and other maternal infections,2000,1172.970196
Western Pacific Region,Maternal hypertensive disorders,2000,2445.597762
Western Pacific Region,Maternal obstructed labor and uterine rupture,2000,742.6838826
Western Pacific Region,Ectopic pregnancy,2000,438.4528698
Western Pacific Region,Indirect maternal deaths,2000,3476.988754
Western Pacific Region,Late maternal deaths,2000,169.6852991
Western Pacific Region,Other maternal disorders,2000,2412.955562
Western Pacific Region,Maternal abortion and miscarriage,2001,1410.343619
European Region,Maternal abortion and miscarriage,2002,290.4687978
Western Pacific Region,Maternal hemorrhage,2002,4665.524912
Western Pacific Region,Maternal sepsis and other maternal infections,2002,926.0219868
Western Pacific Region,Maternal hypertensive disorders,2002,2021.480604
Western Pacific Region,Maternal obstructed labor and uterine rupture,2002,632.5810898
Western Pacific Region,Ectopic pregnancy,2002,358.6537292
Western Pacific Region,Indirect maternal deaths,2002,2847.920055
Western Pacific Region,Late maternal deaths,2002,150.9273831
Western Pacific Region,Other maternal disorders,2002,2132.770933
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2003,31.56728108
Eastern Mediterranean Region,Maternal hemorrhage,2002,9321.529146
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2002,4351.609574
Eastern Mediterranean Region,Maternal hypertensive disorders,2002,8164.211399
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2002,946.1779054
Eastern Mediterranean Region,Ectopic pregnancy,2002,509.775611
Eastern Mediterranean Region,Indirect maternal deaths,2002,2358.491904
Eastern Mediterranean Region,Late maternal deaths,2002,1204.914533
Eastern Mediterranean Region,Other maternal disorders,2002,2805.857484
European Region,Maternal abortion and miscarriage,2003,256.1201366
South-East Asia Region,Maternal hemorrhage,2001,50842.41407
South-East Asia Region,Maternal sepsis and other maternal infections,2001,12705.51317
South-East Asia Region,Maternal hypertensive disorders,2001,15643.82179
South-East Asia Region,Maternal obstructed labor and uterine rupture,2001,2377.500174
South-East Asia Region,Ectopic pregnancy,2001,2390.789111
South-East Asia Region,Indirect maternal deaths,2001,10204.77549
South-East Asia Region,Late maternal deaths,2001,4295.755103
South-East Asia Region,Other maternal disorders,2001,14049.5543
South-East Asia Region,Maternal hemorrhage,2003,44618.58457
South-East Asia Region,Maternal sepsis and other maternal infections,2003,10958.60569
South-East Asia Region,Maternal hypertensive disorders,2003,13898.83165
South-East Asia Region,Maternal obstructed labor and uterine rupture,2003,1773.11375
South-East Asia Region,Ectopic pregnancy,2003,2228.126944
South-East Asia Region,Indirect maternal deaths,2003,8784.874315
South-East Asia Region,Late maternal deaths,2003,3992.947263
South-East Asia Region,Other maternal disorders,2003,13312.59429
Region of the Americas,Maternal abortion and miscarriage,2001,1764.9236
African Region,Maternal abortion and miscarriage,2002,22777.56495
Western Pacific Region,Maternal abortion and miscarriage,2002,1266.158089
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2001,30.47248604
Region of the Americas,Maternal hemorrhage,2001,2294.558313
Region of the Americas,Maternal sepsis and other maternal infections,2001,1063.016986
Region of the Americas,Maternal hypertensive disorders,2001,2603.128727
Region of the Americas,Maternal obstructed labor and uterine rupture,2001,152.3127588
Region of the Americas,Ectopic pregnancy,2001,204.9710415
Region of the Americas,Indirect maternal deaths,2001,1184.284277
Region of the Americas,Late maternal deaths,2001,585.9610243
Region of the Americas,Other maternal disorders,2001,1538.329602
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2003,22.39243355
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2003,84.58686381
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2002,12.06217884
African Region,Maternal abortion and miscarriage,2001,22916.42246
South-East Asia Region,Maternal abortion and miscarriage,2003,11917.95159
Western Pacific Region,Maternal hemorrhage,2003,4076.217898
Western Pacific Region,Maternal sepsis and other maternal infections,2003,818.4615342
Western Pacific Region,Maternal hypertensive disorders,2003,1820.50385
Western Pacific Region,Maternal obstructed labor and uterine rupture,2003,577.415736
Western Pacific Region,Ectopic pregnancy,2003,325.7717385
Western Pacific Region,Indirect maternal deaths,2003,2545.619778
Western Pacific Region,Late maternal deaths,2003,141.4989116
Western Pacific Region,Other maternal disorders,2003,1979.127323
Eastern Mediterranean Region,Maternal abortion and miscarriage,2003,4669.596773
European Region,Maternal deaths aggravated by HIV/AIDS,2003,0.879056713
European Region,Maternal hemorrhage,2003,424.4371437
European Region,Maternal sepsis and other maternal infections,2003,163.4712698
European Region,Maternal hypertensive disorders,2003,389.8443161
European Region,Maternal obstructed labor and uterine rupture,2003,56.03245902
European Region,Ectopic pregnancy,2003,67.01398891
European Region,Indirect maternal deaths,2003,218.2309801
European Region,Late maternal deaths,2003,78.34594114
European Region,Other maternal disorders,2003,694.7441189
Western Pacific Region,Maternal abortion and miscarriage,2003,1127.419297
African Region,Maternal hemorrhage,2001,16724.28171
African Region,Maternal sepsis and other maternal infections,2001,14883.96025
African Region,Maternal hypertensive disorders,2001,9326.96957
African Region,Maternal obstructed labor and uterine rupture,2001,2847.907617
African Region,Ectopic pregnancy,2001,3140.578773
African Region,Indirect maternal deaths,2001,4211.13346
African Region,Late maternal deaths,2001,5072.104621
African Region,Other maternal disorders,2001,9124.454021
European Region,Maternal deaths aggravated by HIV/AIDS,2002,0.813131131
Eastern Mediterranean Region,Maternal abortion and miscarriage,2002,4767.513442
Eastern Mediterranean Region,Maternal hemorrhage,2003,9394.511811
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2003,4319.569934
Eastern Mediterranean Region,Maternal hypertensive disorders,2003,8372.994826
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2003,951.6882118
Eastern Mediterranean Region,Ectopic pregnancy,2003,525.4707346
Eastern Mediterranean Region,Indirect maternal deaths,2003,2410.45011
Eastern Mediterranean Region,Late maternal deaths,2003,1241.851531
Eastern Mediterranean Region,Other maternal disorders,2003,2882.675332
African Region,Maternal deaths aggravated by HIV/AIDS,2001,1873.62594
South-East Asia Region,Maternal hemorrhage,2002,48045.40011
South-East Asia Region,Maternal sepsis and other maternal infections,2002,11874.08488
South-East Asia Region,Maternal hypertensive disorders,2002,14800.72658
South-East Asia Region,Maternal obstructed labor and uterine rupture,2002,2053.666268
South-East Asia Region,Ectopic pregnancy,2002,2322.020291
South-East Asia Region,Indirect maternal deaths,2002,9524.851534
South-East Asia Region,Late maternal deaths,2002,4181.136081
South-East Asia Region,Other maternal disorders,2002,13793.35071
Region of the Americas,Maternal abortion and miscarriage,2003,1677.424369
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2001,98.12776076
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2002,21.40073471
Region of the Americas,Maternal hemorrhage,2002,2330.43649
Region of the Americas,Maternal sepsis and other maternal infections,2002,1080.290141
Region of the Americas,Maternal hypertensive disorders,2002,2631.335036
Region of the Americas,Maternal obstructed labor and uterine rupture,2002,160.8881886
Region of the Americas,Ectopic pregnancy,2002,211.4299051
Region of the Americas,Indirect maternal deaths,2002,1258.044696
Region of the Americas,Late maternal deaths,2002,601.8859311
Region of the Americas,Other maternal disorders,2002,1603.016489
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2002,30.74574496
African Region,Maternal hemorrhage,2002,17118.73508
African Region,Maternal sepsis and other maternal infections,2002,15288.53408
African Region,Maternal hypertensive disorders,2002,9695.724273
African Region,Maternal obstructed labor and uterine rupture,2002,3016.672308
African Region,Ectopic pregnancy,2002,3274.418327
African Region,Indirect maternal deaths,2002,4524.649776
African Region,Late maternal deaths,2002,5393.173501
African Region,Other maternal disorders,2002,9573.217729
European Region,Maternal hemorrhage,2001,500.9381861
European Region,Maternal sepsis and other maternal infections,2001,207.7947102
European Region,Maternal hypertensive disorders,2001,447.7278096
European Region,Maternal obstructed labor and uterine rupture,2001,66.38238818
European Region,Ectopic pregnancy,2001,80.1234224
European Region,Indirect maternal deaths,2001,230.2047989
European Region,Late maternal deaths,2001,85.51705118
European Region,Other maternal disorders,2001,723.266936
South-East Asia Region,Maternal abortion and miscarriage,2001,14488.5897
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2003,11.60845118
Eastern Mediterranean Region,Maternal hemorrhage,2001,9233.29182
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2001,4376.943536
Eastern Mediterranean Region,Maternal hypertensive disorders,2001,7929.333973
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2001,944.886399
Eastern Mediterranean Region,Ectopic pregnancy,2001,489.4729799
Eastern Mediterranean Region,Indirect maternal deaths,2001,2307.539611
Eastern Mediterranean Region,Late maternal deaths,2001,1166.840477
Eastern Mediterranean Region,Other maternal disorders,2001,2737.124657
European Region,Maternal abortion and miscarriage,2001,337.2037246
South-East Asia Region,Maternal abortion and miscarriage,2002,13285.52684
Eastern Mediterranean Region,Maternal abortion and miscarriage,2001,4844.900819
African Region,Maternal deaths aggravated by HIV/AIDS,2002,1928.680387
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2001,19.97606931
Region of the Americas,Maternal abortion and miscarriage,2002,1747.724291
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2002,92.42012757
African Region,Maternal abortion and miscarriage,2003,22750.65382
Western Pacific Region,Maternal hemorrhage,2001,5432.057704
Western Pacific Region,Maternal sepsis and other maternal infections,2001,1060.245975
Western Pacific Region,Maternal hypertensive disorders,2001,2277.581632
Western Pacific Region,Maternal obstructed labor and uterine rupture,2001,703.3293384
Western Pacific Region,Ectopic pregnancy,2001,407.6545099
Western Pacific Region,Indirect maternal deaths,2001,3255.432415
Western Pacific Region,Late maternal deaths,2001,162.216957
Western Pacific Region,Other maternal disorders,2001,2317.725893
Region of the Americas,Maternal hemorrhage,2003,2253.401351
Region of the Americas,Maternal sepsis and other maternal infections,2003,1070.104233
Region of the Americas,Maternal hypertensive disorders,2003,2592.207516
Region of the Americas,Maternal obstructed labor and uterine rupture,2003,165.2901941
Region of the Americas,Ectopic pregnancy,2003,220.4760822
Region of the Americas,Indirect maternal deaths,2003,1329.222429
Region of the Americas,Late maternal deaths,2003,642.0642675
Region of the Americas,Other maternal disorders,2003,1656.52669
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2001,12.34389789
European Region,Maternal hemorrhage,2002,465.8182201
European Region,Maternal sepsis and other maternal infections,2002,188.5956718
European Region,Maternal hypertensive disorders,2002,425.4281694
European Region,Maternal obstructed labor and uterine rupture,2002,61.62746362
European Region,Ectopic pregnancy,2002,73.25839903
European Region,Indirect maternal deaths,2002,227.6948707
European Region,Late maternal deaths,2002,82.98681331
European Region,Other maternal disorders,2002,707.3766322
African Region,Maternal hemorrhage,2003,17583.22628
African Region,Maternal sepsis and other maternal infections,2003,15798.71284
African Region,Maternal hypertensive disorders,2003,10127.6792
African Region,Maternal obstructed labor and uterine rupture,2003,3194.751048
African Region,Ectopic pregnancy,2003,3431.444189
African Region,Indirect maternal deaths,2003,4872.250671
African Region,Late maternal deaths,2003,5749.393513
African Region,Other maternal disorders,2003,10099.67179
African Region,Maternal deaths aggravated by HIV/AIDS,2003,1988.716411
European Region,Maternal deaths aggravated by HIV/AIDS,2001,0.746049994
African Region,Maternal hemorrhage,2004,18036.70376
African Region,Maternal sepsis and other maternal infections,2004,16083.35164
African Region,Maternal hypertensive disorders,2004,10510.05343
African Region,Maternal obstructed labor and uterine rupture,2004,3379.58502
African Region,Ectopic pregnancy,2004,3582.587304
African Region,Indirect maternal deaths,2004,5241.321666
African Region,Late maternal deaths,2004,6088.500649
African Region,Other maternal disorders,2004,10610.6804
African Region,Maternal deaths aggravated by HIV/AIDS,2004,2025.052698
Region of the Americas,Maternal hemorrhage,2004,2098.737803
Region of the Americas,Maternal sepsis and other maternal infections,2004,1046.537675
Region of the Americas,Maternal hypertensive disorders,2004,2472.161306
Region of the Americas,Maternal obstructed labor and uterine rupture,2004,165.2833817
Region of the Americas,Ectopic pregnancy,2004,223.6698357
Region of the Americas,Indirect maternal deaths,2004,1395.417055
Region of the Americas,Late maternal deaths,2004,664.0887528
Region of the Americas,Other maternal disorders,2004,1657.444211
African Region,Maternal abortion and miscarriage,2004,22512.7997
European Region,Maternal deaths aggravated by HIV/AIDS,2004,0.868045305
South-East Asia Region,Maternal abortion and miscarriage,2004,10843.4924
Region of the Americas,Maternal abortion and miscarriage,2004,1592.0389
Region of the Americas,Maternal abortion and miscarriage,2005,1589.585783
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2004,32.82775319
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2005,74.86319557
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2004,78.94607941
European Region,Maternal hemorrhage,2005,362.2218473
European Region,Maternal sepsis and other maternal infections,2005,124.4020227
European Region,Maternal hypertensive disorders,2005,334.9331556
European Region,Maternal obstructed labor and uterine rupture,2005,47.94284619
European Region,Ectopic pregnancy,2005,51.04176364
European Region,Indirect maternal deaths,2005,207.9249003
European Region,Late maternal deaths,2005,70.67677351
European Region,Other maternal disorders,2005,664.3817696
Eastern Mediterranean Region,Maternal hemorrhage,2004,9368.621334
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2004,4265.741361
Eastern Mediterranean Region,Maternal hypertensive disorders,2004,8499.657864
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2004,956.029338
Eastern Mediterranean Region,Ectopic pregnancy,2004,535.9529903
Eastern Mediterranean Region,Indirect maternal deaths,2004,2461.726317
Eastern Mediterranean Region,Late maternal deaths,2004,1268.651523
Eastern Mediterranean Region,Other maternal disorders,2004,2938.864883
African Region,Maternal hemorrhage,2005,18277.14831
African Region,Maternal sepsis and other maternal infections,2005,16057.98115
African Region,Maternal hypertensive disorders,2005,10743.08312
African Region,Maternal obstructed labor and uterine rupture,2005,3536.850598
African Region,Ectopic pregnancy,2005,3697.343353
African Region,Indirect maternal deaths,2005,5567.996167
African Region,Late maternal deaths,2005,6335.484194
African Region,Other maternal disorders,2005,11003.35561
Western Pacific Region,Maternal abortion and miscarriage,2004,1019.534213
European Region,Maternal hemorrhage,2004,376.9997149
European Region,Maternal sepsis and other maternal infections,2004,137.6753775
European Region,Maternal hypertensive disorders,2004,350.8211505
European Region,Maternal obstructed labor and uterine rupture,2004,49.72212682
European Region,Ectopic pregnancy,2004,54.75005718
European Region,Indirect maternal deaths,2004,203.3174619
European Region,Late maternal deaths,2004,73.11398531
European Region,Other maternal disorders,2004,665.1790369
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2004,23.24666113
South-East Asia Region,Maternal hemorrhage,2004,42423.20207
South-East Asia Region,Maternal sepsis and other maternal infections,2004,10376.35739
South-East Asia Region,Maternal hypertensive disorders,2004,13175.87543
South-East Asia Region,Maternal obstructed labor and uterine rupture,2004,1608.198321
South-East Asia Region,Ectopic pregnancy,2004,2174.622305
South-East Asia Region,Indirect maternal deaths,2004,8335.554709
South-East Asia Region,Late maternal deaths,2004,3896.302533
South-East Asia Region,Other maternal disorders,2004,13098.66035
African Region,Maternal deaths aggravated by HIV/AIDS,2005,2024.697639
Eastern Mediterranean Region,Maternal abortion and miscarriage,2004,4557.078471
African Region,Maternal abortion and miscarriage,2005,22207.93671
Eastern Mediterranean Region,Maternal abortion and miscarriage,2005,4416.884579
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2004,11.32621855
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2005,33.93863393
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2005,10.93106605
South-East Asia Region,Maternal hemorrhage,2005,41766.76611
South-East Asia Region,Maternal sepsis and other maternal infections,2005,10079.16015
South-East Asia Region,Maternal hypertensive disorders,2005,12894.0571
South-East Asia Region,Maternal obstructed labor and uterine rupture,2005,1524.308229
South-East Asia Region,Ectopic pregnancy,2005,2204.041588
European Region,Maternal deaths aggravated by HIV/AIDS,2005,0.891181789
South-East Asia Region,Indirect maternal deaths,2005,8264.71594
South-East Asia Region,Late maternal deaths,2005,3934.484817
South-East Asia Region,Other maternal disorders,2005,13329.73896
European Region,Maternal abortion and miscarriage,2004,207.2159745
Western Pacific Region,Maternal abortion and miscarriage,2005,915.9363732
European Region,Maternal abortion and miscarriage,2005,190.9940469
Western Pacific Region,Maternal hemorrhage,2004,3808.449367
Western Pacific Region,Maternal sepsis and other maternal infections,2004,756.9923596
Western Pacific Region,Maternal hypertensive disorders,2004,1755.927302
Western Pacific Region,Maternal obstructed labor and uterine rupture,2004,566.6801855
Western Pacific Region,Ectopic pregnancy,2004,320.713248
Western Pacific Region,Indirect maternal deaths,2004,2459.154791
Western Pacific Region,Late maternal deaths,2004,139.8202952
Western Pacific Region,Other maternal disorders,2004,1955.101275
Western Pacific Region,Maternal hemorrhage,2005,3495.804963
Western Pacific Region,Maternal sepsis and other maternal infections,2005,689.5878571
Western Pacific Region,Maternal hypertensive disorders,2005,1667.172164
Western Pacific Region,Maternal obstructed labor and uterine rupture,2005,543.7345262
Western Pacific Region,Ectopic pregnancy,2005,309.6117687
Western Pacific Region,Indirect maternal deaths,2005,2320.699802
Western Pacific Region,Late maternal deaths,2005,135.8003557
Western Pacific Region,Other maternal disorders,2005,1904.99087
Region of the Americas,Maternal hemorrhage,2005,2161.872622
Region of the Americas,Maternal sepsis and other maternal infections,2005,1071.216126
Region of the Americas,Maternal hypertensive disorders,2005,2540.527458
Region of the Americas,Maternal obstructed labor and uterine rupture,2005,172.2708195
Region of the Americas,Ectopic pregnancy,2005,234.2797426
Region of the Americas,Indirect maternal deaths,2005,1501.621609
Region of the Americas,Late maternal deaths,2005,700.0242157
Region of the Americas,Other maternal disorders,2005,1767.210422
South-East Asia Region,Maternal abortion and miscarriage,2005,10161.29668
Eastern Mediterranean Region,Maternal hemorrhage,2005,9324.970498
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2005,4184.393546
Eastern Mediterranean Region,Maternal hypertensive disorders,2005,8572.612925
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2005,963.5993214
Eastern Mediterranean Region,Ectopic pregnancy,2005,542.0935584
Eastern Mediterranean Region,Indirect maternal deaths,2005,2520.944606
Eastern Mediterranean Region,Late maternal deaths,2005,1289.93668
Eastern Mediterranean Region,Other maternal disorders,2005,3010.074874
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2005,23.51092591
African Region,Maternal hemorrhage,2007,18659.07076
African Region,Maternal sepsis and other maternal infections,2007,16066.17565
African Region,Maternal hypertensive disorders,2007,11088.27182
African Region,Maternal obstructed labor and uterine rupture,2007,3847.89301
African Region,Ectopic pregnancy,2007,3632.848282
African Region,Indirect maternal deaths,2007,6105.756239
African Region,Late maternal deaths,2007,6684.239062
African Region,Other maternal disorders,2007,11669.10096
African Region,Maternal abortion and miscarriage,2006,21794.86667
African Region,Maternal deaths aggravated by HIV/AIDS,2007,1971.732555
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2006,33.72001367
South-East Asia Region,Maternal hemorrhage,2006,40072.88427
South-East Asia Region,Maternal sepsis and other maternal infections,2006,9405.402043
South-East Asia Region,Maternal hypertensive disorders,2006,12284.2513
South-East Asia Region,Maternal obstructed labor and uterine rupture,2006,1455.487098
South-East Asia Region,Ectopic pregnancy,2006,2162.692828
South-East Asia Region,Indirect maternal deaths,2006,8263.534937
South-East Asia Region,Late maternal deaths,2006,3868.828999
South-East Asia Region,Other maternal disorders,2006,13206.60477
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2006,23.35167438
African Region,Maternal deaths aggravated by HIV/AIDS,2006,2010.699261
European Region,Maternal deaths aggravated by HIV/AIDS,2007,1.027215589
Western Pacific Region,Maternal hemorrhage,2006,3132.125769
Western Pacific Region,Maternal sepsis and other maternal infections,2006,610.7919193
Western Pacific Region,Maternal hypertensive disorders,2006,1546.8963
Western Pacific Region,Maternal obstructed labor and uterine rupture,2006,504.2585146
Western Pacific Region,Ectopic pregnancy,2006,289.2030009
Western Pacific Region,Indirect maternal deaths,2006,2134.214762
Western Pacific Region,Late maternal deaths,2006,129.4195533
Western Pacific Region,Other maternal disorders,2006,1804.539739
African Region,Maternal abortion and miscarriage,2007,21042.30883
European Region,Maternal deaths aggravated by HIV/AIDS,2006,0.930433824
South-East Asia Region,Maternal abortion and miscarriage,2007,8233.549349
Region of the Americas,Maternal hemorrhage,2006,1982.400847
Region of the Americas,Maternal sepsis and other maternal infections,2006,1022.054464
Region of the Americas,Maternal hypertensive disorders,2006,2380.471278
Region of the Americas,Maternal obstructed labor and uterine rupture,2006,167.9150632
Region of the Americas,Ectopic pregnancy,2006,224.4140748
Region of the Americas,Indirect maternal deaths,2006,1507.401235
Region of the Americas,Late maternal deaths,2006,706.6060001
Region of the Americas,Other maternal disorders,2006,1708.263081
South-East Asia Region,Maternal abortion and miscarriage,2006,9292.846191
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2007,33.92538543
Eastern Mediterranean Region,Maternal hemorrhage,2006,9232.231368
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2006,4083.112724
Eastern Mediterranean Region,Maternal hypertensive disorders,2006,8630.480882
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2006,971.0499215
Eastern Mediterranean Region,Ectopic pregnancy,2006,548.7760342
Eastern Mediterranean Region,Indirect maternal deaths,2006,2562.53307
Eastern Mediterranean Region,Late maternal deaths,2006,1310.743699
Eastern Mediterranean Region,Other maternal disorders,2006,3058.76077
Region of the Americas,Maternal hemorrhage,2007,1987.823956
Region of the Americas,Maternal sepsis and other maternal infections,2007,1018.318617
Region of the Americas,Maternal hypertensive disorders,2007,2369.225313
Region of the Americas,Maternal obstructed labor and uterine rupture,2007,171.0376181
Region of the Americas,Ectopic pregnancy,2007,224.7491339
Region of the Americas,Indirect maternal deaths,2007,1551.76892
Region of the Americas,Late maternal deaths,2007,716.3476482
Region of the Americas,Other maternal disorders,2007,1752.410491
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2006,70.93149332
European Region,Maternal abortion and miscarriage,2006,174.4310542
Region of the Americas,Maternal abortion and miscarriage,2007,1438.844843
European Region,Maternal hemorrhage,2006,341.2203182
European Region,Maternal sepsis and other maternal infections,2006,109.339443
European Region,Maternal hypertensive disorders,2006,314.4067662
European Region,Maternal obstructed labor and uterine rupture,2006,44.76772637
European Region,Ectopic pregnancy,2006,46.08259737
European Region,Indirect maternal deaths,2006,203.8496343
European Region,Late maternal deaths,2006,67.50598451
European Region,Other maternal disorders,2006,660.7034515
Region of the Americas,Maternal abortion and miscarriage,2006,1466.842924
South-East Asia Region,Maternal hemorrhage,2007,37651.64735
South-East Asia Region,Maternal sepsis and other maternal infections,2007,8436.641392
South-East Asia Region,Maternal hypertensive disorders,2007,11550.62031
South-East Asia Region,Maternal obstructed labor and uterine rupture,2007,1423.067476
South-East Asia Region,Ectopic pregnancy,2007,2079.201145
African Region,Maternal hemorrhage,2006,18392.45117
African Region,Maternal sepsis and other maternal infections,2006,16098.93427
African Region,Maternal hypertensive disorders,2006,10916.93607
African Region,Maternal obstructed labor and uterine rupture,2006,3665.616856
African Region,Ectopic pregnancy,2006,3763.695635
African Region,Indirect maternal deaths,2006,5848.675146
African Region,Late maternal deaths,2006,6496.970373
African Region,Other maternal disorders,2006,11315.24083
Eastern Mediterranean Region,Maternal hemorrhage,2007,9031.364077
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2007,3991.174435
Eastern Mediterranean Region,Maternal hypertensive disorders,2007,8607.999538
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2007,976.9602575
Eastern Mediterranean Region,Ectopic pregnancy,2007,550.6530825
Eastern Mediterranean Region,Indirect maternal deaths,2007,2598.785607
Eastern Mediterranean Region,Late maternal deaths,2007,1322.6075
Eastern Mediterranean Region,Other maternal disorders,2007,3101.374003
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2007,23.54440544
South-East Asia Region,Indirect maternal deaths,2007,8211.771586
South-East Asia Region,Late maternal deaths,2007,3677.100778
South-East Asia Region,Other maternal disorders,2007,12779.82988
Western Pacific Region,Maternal abortion and miscarriage,2007,719.8717153
Western Pacific Region,Maternal abortion and miscarriage,2006,805.0679819
Eastern Mediterranean Region,Maternal abortion and miscarriage,2006,4266.727475
European Region,Maternal abortion and miscarriage,2007,161.3460484
Western Pacific Region,Maternal hemorrhage,2007,2822.935602
Western Pacific Region,Maternal sepsis and other maternal infections,2007,547.7943361
Western Pacific Region,Maternal hypertensive disorders,2007,1445.222606
Western Pacific Region,Maternal obstructed labor and uterine rupture,2007,465.722157
Western Pacific Region,Ectopic pregnancy,2007,269.3815108
Western Pacific Region,Indirect maternal deaths,2007,1982.709878
Western Pacific Region,Late maternal deaths,2007,123.8601054
Western Pacific Region,Other maternal disorders,2007,1717.586699
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2006,10.36331082
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2007,65.7818964
European Region,Maternal hemorrhage,2007,327.8376735
European Region,Maternal sepsis and other maternal infections,2007,99.89387345
European Region,Maternal hypertensive disorders,2007,298.3533266
European Region,Maternal obstructed labor and uterine rupture,2007,43.50591178
European Region,Ectopic pregnancy,2007,42.70767692
European Region,Indirect maternal deaths,2007,206.6846515
European Region,Late maternal deaths,2007,66.53630294
European Region,Other maternal disorders,2007,668.88409
Eastern Mediterranean Region,Maternal abortion and miscarriage,2007,4123.594449
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2007,10.0817775
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2008,9.764382955
European Region,Maternal hemorrhage,2009,314.1312819
European Region,Maternal sepsis and other maternal infections,2009,92.39974534
European Region,Maternal hypertensive disorders,2009,290.1995248
European Region,Maternal obstructed labor and uterine rupture,2009,43.38509027
European Region,Ectopic pregnancy,2009,39.84241682
European Region,Indirect maternal deaths,2009,227.9463261
European Region,Late maternal deaths,2009,67.33557776
European Region,Other maternal disorders,2009,719.7215425
Western Pacific Region,Maternal abortion and miscarriage,2008,655.5183668
Eastern Mediterranean Region,Maternal hemorrhage,2009,8894.681365
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2009,3747.681983
Eastern Mediterranean Region,Maternal hypertensive disorders,2009,8785.763632
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2009,1035.394093
Eastern Mediterranean Region,Ectopic pregnancy,2009,568.3856765
Eastern Mediterranean Region,Indirect maternal deaths,2009,2768.473701
Eastern Mediterranean Region,Late maternal deaths,2009,1375.007238
Eastern Mediterranean Region,Other maternal disorders,2009,3204.320613
European Region,Maternal abortion and miscarriage,2009,138.9036005
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2009,23.28805481
Eastern Mediterranean Region,Maternal abortion and miscarriage,2009,3774.190919
Western Pacific Region,Maternal hemorrhage,2009,2443.691041
Western Pacific Region,Maternal sepsis and other maternal infections,2009,463.9090475
Western Pacific Region,Maternal hypertensive disorders,2009,1354.107143
Western Pacific Region,Maternal obstructed labor and uterine rupture,2009,423.5825873
Western Pacific Region,Ectopic pregnancy,2009,250.12096
Western Pacific Region,Indirect maternal deaths,2009,1851.544694
Western Pacific Region,Late maternal deaths,2009,121.1056469
Western Pacific Region,Other maternal disorders,2009,1653.068253
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2009,9.363205587
European Region,Maternal deaths aggravated by HIV/AIDS,2009,1.288771887
African Region,Maternal hemorrhage,2008,18551.44316
African Region,Maternal sepsis and other maternal infections,2008,15946.12733
African Region,Maternal hypertensive disorders,2008,11147.59433
